id,tipo,titulo,alias,sigla,catId,catTitle,parentCatId,parentCatTitle,path
9020,Estatísticas,Meios de Hospedagem no Estado do Rio de Janeiro,meios-de-hospedagem-no-estado-do-rio-de-janeiro,,2003,NP-Meios de Hospedagem no Estado do Rio de Janeiro,1921,NP-Serviços,novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/servicos/np-meios-de-hospedagem-no-estado-do-rio-de-janeiro
9197,Estatísticas,Mudança Demográfica no Brasil no Início do Século XXI,mudanca-demografica-no-brasil-no-inicio-do-seculo-xxi,,2069,NP-Mudança Demográfica no Brasil no Início do Século XXI,1864,NP-População,novo-portal/estatisticas/demografia-e-estatisticas-sociais/populacao/np-mudanca-demografica-no-brasil-no-inicio-do-seculo-xxi
29500,Estatísticas,"O Investimento em Bens no Estado de São Paulo, com Base nas Notas Fiscais Eletrônicas",o-investimento-em-bens-no-estado-de-sao-paulo-com-base-nas-notas-fiscais-eletronicas,,3022,"NP-O Investimento em Bens no Estado de São Paulo, com Base nas Notas Fiscais Eletrônicas",2990,NP-Estatísticas Experimentais,novo-portal/estatisticas/estatisticas-investigacoes-experimentais/estatisticas-experimentais/np-o-investimento-em-bens-no-estado-de-sao-paulo-com-base-nas-notas-fiscais-eletronicas
9139,Estatísticas,O Setor de Tecnologia da Informação e Comunicação no Brasil ,o-setor-de-tecnologia-da-informacao-e-comunicacao-no-brasil,,2053,NP-O Setor de Tecnologia da Informação e Comunicação no Brasil,1940,NP-Sociedade da informação,novo-portal/estatisticas/estatisticas-multidominio-e-meio-ambiente/estatisticas-multidominio/sociedade-da-informacao/np-o-setor-de-tecnologia-da-informacao-e-comunicacao-no-brasil
24249,Estatísticas,Padrão de registro de endereços: definições e orientações de uso,padrao-de-registro-de-enderecos-definicoes-e-orientacoes-de-uso,,2947,NP-Padrão de registro de endereços: definições e orientações de uso,2890,NP-Outros documentos,novo-portal/estatisticas/metodos-e-classificacoes/np-outros-documentos-tecnicos/np-padrao-de-registro-de-enderecos-definicoes-e-orientacoes-de-uso
20438,Estatísticas,Panorama Nacional e Internacional da Produção de Indicadores Sociais,panorama-nacional-e-internacional-da-producao-dos-indicadores-sociais,,2876,NP-Panorama Nacional e Internacional da Produção de Indicadores Sociais,1864,NP-População,novo-portal/estatisticas/demografia-e-estatisticas-sociais/populacao/np-panorama-nacional-e-internacional-da-producao-dos-indicadores-sociais
26177,Estatísticas,Pareamento de Dados#Vitais3,pareamento-de-dados,,2043,NP-Sistema de Estatísticas Vitais,1866,NP-Componentes da dinâmica demográfica e estatísticas vitais,novo-portal/estatisticas/demografia-e-estatisticas-sociais/populacao/componentes-da-dinamica-demografica-e-estatisticas-vitais/np-sistema-de-estatisticas-vitais
9018,Estatísticas,Pesquisa Anual da Indústria da Construção,pesquisa-anual-da-industria-da-construcao,PAIC,2002,NP-Pesquisa Anual da Indústria da Construção,1919,NP-Construção,novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/construcao/np-pesquisa-anual-da-industria-da-construcao
9075,Estatísticas,Pesquisa Anual de Comércio,pesquisa-anual-de-comercio,PAC,2029,NP-Pesquisa Anual de Comércio,1920,NP-Comércio,novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/comercio/np-pesquisa-anual-de-comercio
9028,Estatísticas,Pesquisa Anual de Serviços #PAS1,pesquisa-anual-de-servicos,PAS,2008,NP-Pesquisa Anual de Serviços,1921,NP-Serviços,novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/servicos/np-pesquisa-anual-de-servicos
9107,Estatísticas,Pesquisa da Pecuária Municipal ,producao-da-pecuaria-municipal,PPM,2041,NP-Pesquisa da Pecuária Municipal,1915,"NP-Agricultura, pecuária, produção florestal, pesca e aquicultura",novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/np-producao-da-pecuaria-municipal
9067,Estatísticas,Pesquisa de Assistência Médico-Sanitária,pesquisa-de-assistencia-medico-sanitaria,AMS,2023,NP-Pesquisa de Assistência Médico-Sanitária,1883,NP-Saúde,novo-portal/estatisticas/demografia-e-estatisticas-sociais/saude/assistencia-medico-sanitaria
9021,Estatísticas,Pesquisa de Entidades de Assistência Social Privadas sem Fins Lucrativos,pesquisa-de-entidades-de-assistencia-social-privadas-sem-fins-lucrativos,PEAS,2005,NP-Pesquisa de Entidades de Assistência Social Privadas sem Fins Lucrativos,1931,NP-Outras estatísticas econômicas não especificadas anteriormente,novo-portal/estatisticas/estatisticas-economicas/outras-estatisticas-economicas-nao-especificadas-anteriormente/np-as-entidades-de-assistencia-social-privadas-sem-fins-lucrativos-no-brasil
9156,Estatísticas,Pesquisa de Esporte,pesquisa-de-esporte,,2060,NP-Pesquisa de Esporte,1943,"NP-Cultura, recreação e esporte",novo-portal/estatisticas/estatisticas-multidominio-e-meio-ambiente/estatisticas-multidominio/cultura-recreacao-e-esporte/np-pesquisa-de-esporte
9199,Estatísticas,Pesquisa de Estoques,pesquisa-de-estoques,,2070,NP-Pesquisa de Estoques,1915,"NP-Agricultura, pecuária, produção florestal, pesca e aquicultura",novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/np-pesquisa-de-estoques
9141,Estatísticas,Pesquisa de Inovação,pesquisa-de-inovacao,PINTEC,2054,NP-Pesquisa de Inovação,1939,"NP-Ciência, Tecnologia e Inovação - CT&I",novo-portal/estatisticas/estatisticas-multidominio-e-meio-ambiente/estatisticas-multidominio/ciencia-tecnologia-e-inovacao-ct-i/np-pesquisa-de-inovacao
9143,Estatísticas,Pesquisa de Inovação nas Empresas Estatais Federais,pesquisa-de-inovacao-nas-empresas-estatais-federais,PIEEF,2055,NP-Pesquisa de Inovação nas Empresas Estatais Federais,1939,"NP-Ciência, Tecnologia e Inovação - CT&I",novo-portal/estatisticas/estatisticas-multidominio-e-meio-ambiente/estatisticas-multidominio/ciencia-tecnologia-e-inovacao-ct-i/np-pesquisa-de-inovacao-nas-empresas-estatais-federais
35867,Estatísticas,Pesquisa de Inovação Semestral,pesquisa-de-inovacao-semestral,PINTEC Semestral,3065,NP-Pesquisa de Inovação Semestral,2990,NP-Estatísticas Experimentais,novo-portal/estatisticas/estatisticas-investigacoes-experimentais/estatisticas-experimentais/np-pesquisa-de-inovacao-semestral
40418,Estatísticas,Pesquisa de Pós-Enumeração do Censo Demográfico 2022,pesquisa-de-pos-enumeracao-do-censo-demografico-2022,,3107,NP-Pesquisa de Pós-Enumeração do Censo Demográfico 2022,1865,NP-Características gerais da população,novo-portal/estatisticas/demografia-e-estatisticas-sociais/populacao/caracteristicas-gerais-da-populacao/np-pesquisa-de-pos-enumeracao-do-censo-demografico-2022
9040,Estatísticas,Pesquisa de Serviços de Hospedagem,pesquisa-de-servicos-de-hospedagem-municipios-das-capitais-regioes-metropolitanas-das-capitais-e-regioes-integradas-de-desenvolvimento,PSH,2015,NP-Pesquisa de Serviços de Hospedagem,1921,NP-Serviços,novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/servicos/np-pesquisa-de-servicos-de-hospedagem
9035,Estatísticas,Pesquisa de Serviços de Publicidade e Promoção,pesquisa-de-servicos-de-publicidade-e-promocao,PSPP,2010,NP-Pesquisa de Serviços de Publicidade e Promoção,1921,NP-Serviços,novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/servicos/np-pesquisa-de-servicos-de-publicidade-e-promocao-2009
9037,Estatísticas,Pesquisa de Serviços de Tecnologia da Informação,pesquisa-de-servicos-de-tecnologia-da-informacao,PSTI,2014,NP-Pesquisa de Serviços de Tecnologia da Informação,1921,NP-Serviços,novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/servicos/np-pesquisa-de-servicos-de-tecnologia-da-informacao
9298,Estatísticas,Pesquisa Industrial Mensal de Emprego e Salário,pesquisa-industrial-mensal-de-emprego-e-salario,PIMES,2086,NP-Pesquisa Industrial Mensal de Emprego e Salário,1878,NP-Trabalho remunerado,novo-portal/estatisticas/demografia-e-estatisticas-sociais/trabalho/trabalho-remunerado/np-pesquisa-industrial-mensal-de-emprego-e-salario
9227,Estatísticas,Pesquisa Mensal de Comércio,pesquisa-mensal-de-comercio,PMC,2075,NP-Pesquisa Mensal de Comércio,1920,NP-Comércio,novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/comercio/np-pesquisa-mensal-de-comercio
9229,Estatísticas,Pesquisa Mensal de Serviços,pesquisa-mensal-de-servicos,PMS,2076,NP-Pesquisa Mensal de Serviços,1921,NP-Serviços,novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/servicos/np-pesquisa-mensal-de-servicos
9073,Estatísticas,Pesquisa Nacional de Saneamento Básico,pesquisa-nacional-de-saneamento-basico,PNSB,2028,NP-Pesquisa Nacional de Saneamento Básico,1951,NP-Meio ambiente,novo-portal/estatisticas/estatisticas-multidominio-e-meio-ambiente/meio-ambiente/np-pesquisa-nacional-de-saneamento-basico
28291,Estatísticas,Pesquisa Pulso Empresa: Impacto da Covid-19 nas empresas,pesquisa-pulso-empresa-impacto-da-covid-19-nas-empresas,,3001,NP-Pesquisa Pulso Empresa: Impacto da Covid-19 nas empresas,2990,NP-Estatísticas Experimentais,novo-portal/estatisticas/estatisticas-investigacoes-experimentais/estatisticas-experimentais/np-pesquisa-pulso-empresa-impacto-da-covid-19-nas-empresas
9092,Estatísticas,Pesquisa Sindical,pesquisa-sindical,,2033,NP-Pesquisa Sindical,1890,NP-Participação política e conexões sociais,novo-portal/estatisticas/demografia-e-estatisticas-sociais/administracao-publica-participacao-politica-e-social/participacao-politica-e-conexoes-sociais/np-sindicatos-indicadores-sociais
9137,Estatísticas,Pesquisa sobre o Uso das Tecnologias de Informação e Comunicação nas Empresas,pesquisa-sobre-o-uso-das-tecnologias-de-informacao-e-comunicacao-nas-empresas,TIC-Empresa,2052,NP-Pesquisa sobre o Uso das Tecnologias de Informação e Comunicação nas Empresas,1940,NP-Sociedade da informação,novo-portal/estatisticas/estatisticas-multidominio-e-meio-ambiente/estatisticas-multidominio/sociedade-da-informacao/np-pesquisa-sobre-o-uso-das-tecnologias-de-informacao-e-comunicacao-nas-empresas
34889,Estatísticas,Pessoas com Deficiência e as Desigualdades Sociais no Brasil,pessoas-com-deficiencia-e-as-desigualdades-sociais-no-brasil,,3059,NP-Pessoas com Deficiência e as Desigualdades Sociais no Brasil,1866,NP-Componentes da dinâmica demográfica e estatísticas vitais,novo-portal/estatisticas/demografia-e-estatisticas-sociais/populacao/componentes-da-dinamica-demografica-e-estatisticas-vitais/np-pessoas-com-deficiencia-e-as-desigualdades-sociais-no-brasil
